VALVULA;PERIODO;AÑO;MES;FECHA;VOLUMEN_ENTRADA_FINAL;VOLUMEN_SALIDA_FINAL;PERDIDAS_FINAL;INDICE_PERDIDAS_FINAL;PRESION_FINAL;TEMPERATURA_FINAL;KPT_FINAL;NUM_USUARIOS;NUM_REGISTROS;TIENE_MACROMEDIDOR;PERIODO_A_PREDECIR;MESES_DESDE_RETIRO;VOLUMEN_ENTRADA_MACRO;VOLUMEN_SALIDA_USUARIOS;PRESION_MACRO;TEMPERATURA_MACRO;KPT_MACRO
VALVULA_1;202407;2024;7;2024-07-01;66,5;;;;3,9441091894144615;27,059417239702714;4,6097735639369315;;14397,0;True;False;-12,0;66,5;;3,9441091894144615;27,059417239702714;4,6097735639369315
VALVULA_1;202408;2024;8;2024-08-01;405,53000000000003;;;;3,9374391145616707;26,36239220851241;4,614911502379963;;43278,0;True;False;-11,0;405,53000000000003;;3,9374391145616707;26,36239220851241;4,614911502379963
VALVULA_1;202409;2024;9;2024-09-01;334,21;377,786;-43,576;-0,130385087;3,94;26,6;4,616745276;1,0;43069,0;True;False;-10,0;292,32;377,786;3,940261783379727;26,67740405967535;4,611171613548931
VALVULA_1;202410;2024;10;2024-10-01;428,15;443,825;-15,675;-0,036611001;3,927320614;26,71445066;4,598418167;1,0;43853,0;True;False;-9,0;584,93;443,825;4,0020216369417945;23,850759712429145;4,71894891469653
VALVULA_1;202411;2024;11;2024-11-01;414,74;430,229;-15,489;-0,037346289;4,027505951;24,18215406;4,716812588;1,0;43163,0;True;False;-8,0;373,87;430,229;4,011458871171855;22,335759554543152;4,7530106302201975
VALVULA_1;202412;2024;12;2024-12-01;399,51;407,892;-8,382;-0,020980701;4,008720835;22,17771765;4,753076166;1,0;43637,0;True;False;-7,0;337,83;407,892;4,018755872310196;22,696449343447075;4,753748653665467
VALVULA_1;202501;2025;1;2025-01-01;472,57;483,643;-11,073;-0,023431449;4,004106206;22,84293281;4,73673295;1,0;28346,0;True;False;-6,0;233,63;483,643;4,020313624497284;22,699529386862345;4,755932053905313
VALVULA_1;202502;2025;2;2025-02-01;266,41;272,899;-6,489;-0,024357194;4,027505951;22,53819397;4,765691209;1,0;;False;False;-5,0;;272,899;;;
VALVULA_1;202503;2025;3;2025-03-01;;457,422;;;0,16;;0,98925;1,0;;False;False;-4,0;;457,422;;;
VALVULA_1;202504;2025;4;2025-04-01;;486,557;;;0,16;;0,98925;1,0;;False;False;-3,0;;486,557;;;
VALVULA_1;202505;2025;5;2025-05-01;;387,497;;;0,16;;0,98925;1,0;;False;False;-2,0;;387,497;;;
VALVULA_1;202506;2025;6;2025-06-01;;502,096;;;0,16;;0,98925;1,0;;False;False;-1,0;;502,096;;;
VALVULA_1;202507;2025;7;2025-07-01;;557,431;;;0,16;;0,98925;1,0;;False;False;0,0;;557,431;;;
VALVULA_1;202508;2025;8;2025-08-01;;505,6;;;0,16;;0,98925;1,0;;False;True;1,0;;505,6;;;
VALVULA_1;202509;2025;9;2025-09-01;;505,6;;;0,16;;0,98925;1,0;;False;True;2,0;;505,6;;;
VALVULA_1;202510;2025;10;2025-10-01;;596,549;;;0,16;;0,98925;1,0;;False;True;3,0;;596,549;;;
VALVULA_1;202511;2025;11;2025-11-01;;562,88;;;0,16;;0,98925;1,0;;False;True;4,0;;562,88;;;
VALVULA_2;202405;2024;5;2024-05-01;1346,8700000000001;;;;4,569780732215498;26,426148427423357;5,21776416311142;;20158,0;True;False;-7,0;1346,8700000000001;;4,569780732215498;26,426148427423357;5,21776416311142
VALVULA_2;202406;2024;6;2024-06-01;2246,85;;;;4,558948959993462;25,925555964202527;5,216329124269543;;24471,0;True;False;-6,0;2246,85;;4,558948959993462;25,925555964202527;5,216329124269543
VALVULA_2;202407;2024;7;2024-07-01;2784,44;2542,798;241,642;0,08678298;4,563825085;26,15154429;5,216982249;8,0;20117,0;True;False;-5,0;2130,26;2542,798;4,561468906894666;28,122178754287418;5,178792563503505
VALVULA_2;202408;2024;8;2024-08-01;1837,52;2148,637;-311,117;-0,169313531;5,209541251;25,76768404;4,549267906;8,0;22842,0;True;False;-4,0;2284,95;2148,6369999999997;4,547765519656773;27,237358374923385;5,181622887663077
VALVULA_2;202409;2024;9;2024-09-01;2380,57;2178,348;202,222;0,084946882;4,554123046;27,65235143;5,180289794;8,0;30,0;True;False;-3,0;2113,35505379;2178,348;4,65;27,04;5,109999999999999
VALVULA_2;202410;2024;10;2024-10-01;2312,88;2230,319;82,561;0,035696188;4,515292264;28,05306498;5,134806721;8,0;20122,0;True;False;-2,0;1916,10161294;2230,319;4,436718517046019;27,176543584136766;5,073066792565351
VALVULA_2;202411;2024;11;2024-11-01;1924,086667;1714,561;209,5256667;0,108896169;4,456523762;26,98231554;5,096938987;8,0;24427,0;True;False;-1,0;1702,34;1714,561;4,446894010725836;25,897872436238586;5,1062283538707165
VALVULA_2;202412;2024;12;2024-12-01;1731,47;1494,091;237,379;0,137096802;4,442191248;26,47510266;5,091243767;7,0;17,0;True;False;0,0;863,1700000000001;1494,091;4,52;26,8;5,1
VALVULA_2;202501;2025;1;2025-01-01;1632,93;1904,383;-271,453;-0,166236765;4,52;26,8;5,1;8,0;;False;True;1,0;;1904,383;;;
VALVULA_2;202502;2025;2;2025-02-01;;1735,916;;;0,3242857142857143;;1,1239345402857144;7,0;;False;True;2,0;;1735,916;;;
VALVULA_2;202503;2025;3;2025-03-01;;2360,552;;;0,35250000000000004;;1,151406950125;8,0;;False;True;3,0;;2360,552;;;
VALVULA_2;202504;2025;4;2025-04-01;;2709,1369999999997;;;0,35250000000000004;;1,151406950125;16,0;;False;True;4,0;;2709,1369999999997;;;
VALVULA_2;202505;2025;5;2025-05-01;;3489,907;;;0,35250000000000004;;1,151406950125;8,0;;False;True;5,0;;3489,907;;;
VALVULA_2;202506;2025;6;2025-06-01;;3381,587;;;0,3522931381111111;;1,1512055275555555;9,0;;False;True;6,0;;3381,587;;;
VALVULA_2;202507;2025;7;2025-07-01;;2577,5499999999997;;;0,35250000000000004;;1,151406950125;8,0;;False;True;7,0;;2577,5499999999997;;;
VALVULA_2;202508;2025;8;2025-08-01;;1584,589;;;0,35250000000000004;;1,151406950125;8,0;;False;True;8,0;;1584,589;;;
VALVULA_2;202509;2025;9;2025-09-01;;3630,1689999999994;;;0,35250000000000004;;1,151406950125;8,0;;False;True;9,0;;3630,1689999999994;;;
VALVULA_2;202510;2025;10;2025-10-01;;3124,212;;;0,3242857142857143;;1,1239345402857144;7,0;;False;True;10,0;;3124,212;;;
VALVULA_2;202511;2025;11;2025-11-01;;1656,118;;;0,3242857142857143;;1,1239345402857144;7,0;;False;True;11,0;;1656,118;;;
VALVULA_3;202501;2025;1;2025-01-01;10640,1;;;;3,913333333333333;;4,43076923076923;;15,0;True;False;-5,0;10640,1;;3,913333333333333;;4,43076923076923
VALVULA_3;202502;2025;2;2025-02-01;23241,2;;;;3,8602195945945947;25,174479166666668;4,5518983050847455;;592,0;True;False;-4,0;23241,2;;3,8602195945945947;25,174479166666668;4,5518983050847455
VALVULA_3;202503;2025;3;2025-03-01;21778,3;24800,214;-3021,914;-0,13875803;3,916129032;25,88670977;4,440740741;1,0;1488,0;True;False;-3,0;34337,06;24800,214;3,8505981182795694;26,849932795698923;4,520430107526882
VALVULA_3;202504;2025;4;2025-04-01;27637,57;28208,261;-570,691;-0,020649102;3,857442529;25,88670977;4,542227011;2,0;1440,0;True;False;-2,0;33820,39;28208,261;3,890604166666667;26,08826388888889;4,571430555555556
VALVULA_3;202505;2025;5;2025-05-01;35938,86;36357,732;-418,872;-0,011655128;3,856078869;26,44791667;4,532120536;1,0;1466,0;True;False;-1,0;25255,35;36357,732;3,5652776261937245;24,803139931740613;4,277721691678035
VALVULA_3;202506;2025;6;2025-06-01;28012,1;28126,593;-114,493;-0,004087269;3,89244884;25,76580205;4,578656207;1,0;782,0;True;False;0,0;27205,57;28126,593;3,3556777493606136;25,768286445012787;4,052877237851662
VALVULA_3;202507;2025;7;2025-07-01;28579,57;33540,204;-4960,634;-0,17357273;3,313507161;25,28391927;4,026438802;1,0;16,0;True;True;1,0;13988,619999999999;33540,204;4,11;24,6;4,375
VALVULA_3;202508;2025;8;2025-08-01;;29788,73567;;;0,023;;;1,0;;False;True;2,0;;29788,73567;;;
VALVULA_3;202509;2025;9;2025-09-01;;30897,52867;;;0,023;;;1,0;;False;True;3,0;;30897,52867;;;
VALVULA_3;202510;2025;10;2025-10-01;;32674,843;;;0,023;;;1,0;;False;True;4,0;;32674,843;;;
VALVULA_3;202511;2025;11;2025-11-01;;30485,17756;;;0,023;;;1,0;;False;True;5,0;;30485,17756;;;
VALVULA_4;202406;2024;6;2024-06-01;12598,911296369999;;;;4,4480003902946725;23,465071549369064;4,32421035514505;;15374,0;True;False;-5,0;12598,911296369999;;4,4480003902946725;23,465071549369064;4,32421035514505
