VALVULA;PERIODO;AÑO;MES;FECHA;VOLUMEN_ENTRADA_FINAL;VOLUMEN_SALIDA_FINAL;PERDIDAS_FINAL;INDICE_PERDIDAS_FINAL;PRESION_FINAL;TEMPERATURA_FINAL;KPT_FINAL;NUM_USUARIOS;NUM_REGISTROS;TIENE_MACROMEDIDOR;PERIODO_A_PREDECIR;MESES_DESDE_RETIRO;VOLUMEN_ENTRADA_MACRO;VOLUMEN_SALIDA_USUARIOS;PRESION_MACRO;TEMPERATURA_MACRO;KPT_MACRO
VALVULA_1;202508;2025;8;2025-08-01;;505,6;;;0,16;;0,98925;1,0;;False;True;1,0;;505,6;;;
VALVULA_1;202509;2025;9;2025-09-01;;505,6;;;0,16;;0,98925;1,0;;False;True;2,0;;505,6;;;
VALVULA_1;202510;2025;10;2025-10-01;;596,549;;;0,16;;0,98925;1,0;;False;True;3,0;;596,549;;;
VALVULA_1;202511;2025;11;2025-11-01;;562,88;;;0,16;;0,98925;1,0;;False;True;4,0;;562,88;;;
VALVULA_2;202501;2025;1;2025-01-01;1632,93;1904,383;-271,453;-0,166236765;4,52;26,8;5,1;8,0;;False;True;1,0;;1904,383;;;
VALVULA_2;202502;2025;2;2025-02-01;;1735,916;;;0,3242857142857143;;1,1239345402857144;7,0;;False;True;2,0;;1735,916;;;
VALVULA_2;202503;2025;3;2025-03-01;;2360,552;;;0,35250000000000004;;1,151406950125;8,0;;False;True;3,0;;2360,552;;;
VALVULA_2;202504;2025;4;2025-04-01;;2709,1369999999997;;;0,35250000000000004;;1,151406950125;16,0;;False;True;4,0;;2709,1369999999997;;;
VALVULA_2;202505;2025;5;2025-05-01;;3489,907;;;0,35250000000000004;;1,151406950125;8,0;;False;True;5,0;;3489,907;;;
VALVULA_2;202506;2025;6;2025-06-01;;3381,587;;;0,3522931381111111;;1,1512055275555555;9,0;;False;True;6,0;;3381,587;;;
VALVULA_2;202507;2025;7;2025-07-01;;2577,5499999999997;;;0,35250000000000004;;1,151406950125;8,0;;False;True;7,0;;2577,5499999999997;;;
VALVULA_2;202508;2025;8;2025-08-01;;1584,589;;;0,35250000000000004;;1,151406950125;8,0;;False;True;8,0;;1584,589;;;
VALVULA_2;202509;2025;9;2025-09-01;;3630,1689999999994;;;0,35250000000000004;;1,151406950125;8,0;;False;True;9,0;;3630,1689999999994;;;
VALVULA_2;202510;2025;10;2025-10-01;;3124,212;;;0,3242857142857143;;1,1239345402857144;7,0;;False;True;10,0;;3124,212;;;
VALVULA_2;202511;2025;11;2025-11-01;;1656,118;;;0,3242857142857143;;1,1239345402857144;7,0;;False;True;11,0;;1656,118;;;
VALVULA_3;202507;2025;7;2025-07-01;28579,57;33540,204;-4960,634;-0,17357273;3,313507161;25,28391927;4,026438802;1,0;16,0;True;True;1,0;13988,619999999999;33540,204;4,11;24,6;4,375
VALVULA_3;202508;2025;8;2025-08-01;;29788,73567;;;0,023;;;1,0;;False;True;2,0;;29788,73567;;;
VALVULA_3;202509;2025;9;2025-09-01;;30897,52867;;;0,023;;;1,0;;False;True;3,0;;30897,52867;;;
VALVULA_3;202510;2025;10;2025-10-01;;32674,843;;;0,023;;;1,0;;False;True;4,0;;32674,843;;;
VALVULA_3;202511;2025;11;2025-11-01;;30485,17756;;;0,023;;;1,0;;False;True;5,0;;30485,17756;;;
VALVULA_4;202412;2024;12;2024-12-01;33298,66789;34177,349;-878,6811133;-0,026387876;4,386798894;23,78480021;4,259255857;12,0;;False;True;1,0;;34177,349;;;
VALVULA_4;202501;2025;1;2025-01-01;;33791,178;;;0,5703333333333334;;1,36343135925;12,0;;False;True;2,0;;33791,178;;;
VALVULA_4;202502;2025;2;2025-02-01;;22252,931;;;0,6076363636363636;;1,3998346733636364;11,0;;False;True;3,0;;22252,931;;;
VALVULA_4;202503;2025;3;2025-03-01;;35470,792;;;0,6284;;1,4200523437;10,0;;False;True;4,0;;35470,792;;;
VALVULA_4;202504;2025;4;2025-04-01;;31073,438;;;0,5967272727272728;;1,3891681703636365;22,0;;False;True;5,0;;31073,438;;;
VALVULA_4;202505;2025;5;2025-05-01;;29397,877;;;0,6076363636363636;;1,3998346733636364;11,0;;False;True;6,0;;29397,877;;;
VALVULA_4;202506;2025;6;2025-06-01;;28236,336;;;0,6076363636363636;;1,3998346733636364;11,0;;False;True;7,0;;28236,336;;;
VALVULA_4;202507;2025;7;2025-07-01;;33973,089;;;0,6076363636363636;;1,3998346733636364;11,0;;False;True;8,0;;33973,089;;;
VALVULA_4;202508;2025;8;2025-08-01;;30554,629;;;0,6284;;1,4200523437;10,0;;False;True;9,0;;30554,629;;;
VALVULA_4;202509;2025;9;2025-09-01;;32370,002999999997;;;0,6484;;1,4395264571;10,0;;False;True;10,0;;32370,002999999997;;;
VALVULA_4;202510;2025;10;2025-10-01;;34342,146;;;0,6484;;1,4395264571;10,0;;False;True;11,0;;34342,146;;;
VALVULA_4;202511;2025;11;2025-11-01;;39198,657;;;0,6185454545454546;;1,410456917;11,0;;False;True;12,0;;39198,657;;;
VALVULA_5;202411;2024;11;2024-11-01;4690,0;4964,727;-274,727;-0,058577186;0,0;0,0;4,3;399,0;;False;True;1,0;;4964,727;;;
VALVULA_5;202412;2024;12;2024-12-01;;4491,895;;;0,026045340050377834;;0,8438657014005038;397,0;;False;True;2,0;;4491,895;;;
VALVULA_5;202501;2025;1;2025-01-01;;4818,857;;;0,026007462686567163;;0,8438285658109452;402,0;;False;True;3,0;;4818,857;;;
VALVULA_5;202502;2025;2;2025-02-01;;4935,425;;;0,0260225;;0,8438433086399999;400,0;;False;True;4,0;;4935,425;;;
VALVULA_5;202503;2025;3;2025-03-01;;4866,239;;;0,02599257425742574;;0,843813968950495;404,0;;False;True;5,0;;4866,239;;;
VALVULA_5;202504;2025;4;2025-04-01;;4944,441;;;0,026110972568578552;;0,8439293477705735;802,0;;False;True;6,0;;4944,441;;;
VALVULA_5;202505;2025;5;2025-05-01;;4845,262;;;0,026239294710327456;;0,84405444195466;397,0;;False;True;7,0;;4845,262;;;
VALVULA_5;202506;2025;6;2025-06-01;;5483,756;;;0,026183168316831682;;0,8439994392475247;404,0;;False;True;8,0;;5483,756;;;
VALVULA_5;202507;2025;7;2025-07-01;;4925,483;;;0,026215000000000002;;0,8440306336399999;400,0;;False;True;9,0;;4925,483;;;
VALVULA_5;202508;2025;8;2025-08-01;;5105,857;;;0,026175308641975308;;0,843991736928395;405,0;;False;True;10,0;;5105,857;;;
VALVULA_5;202509;2025;9;2025-09-01;;4679,0960000000005;;;0,02619106699751861;;0,8440071797915633;403,0;;False;True;11,0;;4679,0960000000005;;;
VALVULA_5;202510;2025;10;2025-10-01;;4994,496;;;0,02619106699751861;;0,8440071797915633;403,0;;False;True;12,0;;4994,496;;;
VALVULA_5;202511;2025;11;2025-11-01;;5177,004;;;0,026167487684729065;;0,8439623152709359;406,0;;False;True;13,0;;5177,004;;;
