VALVULA;MODELO;MAE;RMSE;MAPE;MASE;N_TEST
VALVULA_1;LightGBM;106,21400512695314;112,32032667824835;23,8241323452856;1,453791474499769;2
VALVULA_1;RandomForest;122,28269999999992;153,27601082811356;26,45401541036571;1,6737298111141516;2
VALVULA_1;CatBoost;71,40747340309818;94,79720952632726;15,285712203518628;0,9773812401190553;2
VALVULA_2;LightGBM;323,7433339804687;337,7647722873665;18,04012144066349;1,6807649048380051;2
VALVULA_2;RandomForest;438,6585665000026;463,9602529310916;24,503236151718372;2,2773655744962227;2
VALVULA_2;CatBoost;401,6405966910828;417,069326869968;22,360333363074098;2,0851809085196287;2
VALVULA_3;LightGBM;4448,629140624998;4457,668312138411;15,713376438699536;7,83940849846686;2
VALVULA_3;RandomForest;1090,9095000000016;1125,0696444572898;3,8655101035310246;1,9224091141381912;2
VALVULA_3;CatBoost;2192,956557842186;2258,650788718559;7,7317169648987845;3,864444918396006;2
VALVULA_4;LightGBM;5758,279952734374;6160,970776507315;18,511831142104977;1,3141726821874158;2
VALVULA_4;RandomForest;4739,571385503679;5555,818922398046;14,975968320038167;1,0816798230083238;2
VALVULA_4;CatBoost;3602,331333843449;4335,422939037536;11,332788748381743;0,8221353372853626;2
