CODIGO VALVULA REFERENCIA;ID_USUARIO;GRUPO_USUARIO;ESTRATO;CLASE_SERVICIO;PRESION_SISTEMA;KPT_SISTEMA;TIPO_MEDIDOR;PERIODO;CONSUMO
VALVULA_1;USU_24;No Residencial;-;OFICIAL EPM;0.16;0.98925;EPMGG10;202409;377.786
VALVULA_1;USU_24;No Residencial;-;OFICIAL EPM;0.16;0.98925;EPMGG10;202410;443.825
VALVULA_1;USU_24;No Residencial;-;OFICIAL EPM;0.16;0.98925;EPMGG10;202411;430.229
VALVULA_1;USU_24;No Residencial;-;OFICIAL EPM;0.16;0.98925;EPMGG10;202412;407.892
VALVULA_1;USU_24;No Residencial;-;OFICIAL EPM;0.16;0.98925;EPMGG10;202501;483.643
VALVULA_1;USU_24;No Residencial;-;OFICIAL EPM;0.16;0.98925;EPMGG10;202502;272.899
VALVULA_1;USU_24;No Residencial;-;OFICIAL EPM;0.16;0.98925;EPMGG10;202503;457.422
VALVULA_1;USU_24;No Residencial;-;OFICIAL EPM;0.16;0.98925;EPMGG10;202504;486.557
VALVULA_1;USU_24;No Residencial;-;OFICIAL EPM;0.16;0.98925;EPMGG10;202505;387.497
VALVULA_1;USU_24;No Residencial;-;OFICIAL EPM;0.16;0.98925;EPMGG10;202506;502.096
VALVULA_1;USU_24;No Residencial;-;OFICIAL EPM;0.16;0.98925;EPMGG10;202507;557.431
VALVULA_1;USU_24;No Residencial;-;OFICIAL EPM;0.16;0.98925;EPMGG10;202508;505.6
VALVULA_1;USU_24;No Residencial;-;OFICIAL EPM;0.16;0.98925;EPMGG10;202509;505.6
VALVULA_1;USU_24;No Residencial;-;OFICIAL EPM;0.16;0.98925;EPMGG10;202510;596.549
VALVULA_1;USU_24;No Residencial;-;OFICIAL EPM;0.16;0.98925;EPMGG10;202511;562.88
VALVULA_2;USU_2;No Residencial;-;INDUSTRIAL;0.55;1.343713819;EPMGTYL G40;202407;195.236
VALVULA_2;USU_3;No Residencial;-;COMERCIAL;0.2;1.002916836;EPMG1177;202407;7.961
VALVULA_2;USU_4;No Residencial;-;COMERCIAL;0.15;0.954231553;EPMG1117;202407;227.951
VALVULA_2;USU_5;No Residencial;-;COMERCIAL;0.03;0.837386873;EPMG1854;202407;88.35
VALVULA_2;USU_6;No Residencial;-;INDUSTRIAL;0.55;1.343713819;EPMGG10;202407;2.65
VALVULA_2;USU_18;No Residencial;-;INDUSTRIAL;0.2;1.002916836;EPMGMR-12(G10);202407;551.733
VALVULA_2;USU_19;No Residencial;-;INDUSTRIAL;1;1.781881369;EPMGDELTA G65;202407;992.892
VALVULA_2;USU_21;No Residencial;-;COMERCIAL;0.14;0.944494496;EPMGG6(G6);202407;476.025
VALVULA_2;USU_2;No Residencial;-;INDUSTRIAL;0.55;1.343713819;EPMGTYL G40;202408;81.016
VALVULA_2;USU_3;No Residencial;-;COMERCIAL;0.2;1.002916836;EPMG1177;202408;23.883
VALVULA_2;USU_4;No Residencial;-;COMERCIAL;0.15;0.954231553;EPMG1117;202408;227.001
VALVULA_2;USU_5;No Residencial;-;COMERCIAL;0.03;0.837386873;EPMG1854;202408;94.185
VALVULA_2;USU_6;No Residencial;-;INDUSTRIAL;0.55;1.343713819;EPMGG10;202408;6.626
VALVULA_2;USU_18;No Residencial;-;INDUSTRIAL;0.2;1.002916836;EPMGMR-12(G10);202408;537.637
VALVULA_2;USU_19;No Residencial;-;INDUSTRIAL;1;1.781881369;EPMGDELTA G65;202408;628.593
VALVULA_2;USU_21;No Residencial;-;COMERCIAL;0.14;0.944494496;EPMGG6(G6);202408;549.696
VALVULA_2;USU_2;No Residencial;-;INDUSTRIAL;0.55;1.343713819;EPMGTYL G40;202409;488.754
VALVULA_2;USU_3;No Residencial;-;COMERCIAL;0.2;1.002916836;EPMG1177;202409;25.873
VALVULA_2;USU_4;No Residencial;-;COMERCIAL;0.15;0.954231553;EPMG1117;202409;215.604
VALVULA_2;USU_5;No Residencial;-;COMERCIAL;0.03;0.837386873;EPMG1854;202409;96.685
VALVULA_2;USU_6;No Residencial;-;INDUSTRIAL;0.55;1.343713819;EPMGG10;202409;10.602
VALVULA_2;USU_18;No Residencial;-;INDUSTRIAL;0.2;1.002916836;EPMGMR-12(G10);202409;544.403
VALVULA_2;USU_19;No Residencial;-;INDUSTRIAL;1;1.781881369;EPMGDELTA G65;202409;225.008
VALVULA_2;USU_21;No Residencial;-;COMERCIAL;0.14;0.944494496;EPMGG6(G6);202409;571.419
VALVULA_2;USU_2;No Residencial;-;INDUSTRIAL;0.55;1.343713819;EPMGTYL G40;202410;544.535
VALVULA_2;USU_3;No Residencial;-;COMERCIAL;0.2;1.002916836;EPMG1177;202410;31.844
VALVULA_2;USU_4;No Residencial;-;COMERCIAL;0.15;0.954231553;EPMG1117;202410;249.796
VALVULA_2;USU_5;No Residencial;-;COMERCIAL;0.03;0.837386873;EPMG1854;202410;96.685
VALVULA_2;USU_6;No Residencial;-;INDUSTRIAL;0.55;1.343713819;EPMGG10;202410;2.65
