iter	RMSE
0	6341.787961
1	6253.666684
2	6173.150394
3	6092.032356
4	6011.46515
5	5934.928711
6	5859.944239
7	5782.862832
8	5709.573396
9	5636.575798
10	5566.1186
11	5491.996427
12	5420.289231
13	5350.474952
14	5274.350373
15	5206.102892
16	5140.246654
17	5074.03983
18	5008.926366
19	4943.532153
20	4880.849122
21	4818.993609
22	4752.467663
23	4692.454713
24	4633.313666
25	4574.310461
26	4515.476682
27	4459.033222
28	4403.160139
29	4348.120637
30	4293.292085
31	4238.264793
32	4182.344186
33	4129.393857
34	4077.844668
35	4027.355464
36	3977.01352
37	3927.300851
38	3877.875972
39	3828.444745
40	3780.312448
41	3732.954981
42	3686.213352
43	3640.06341
44	3593.774502
45	3549.453869
46	3504.186725
47	3460.38439
48	3417.129585
49	3374.262132
50	3332.083854
51	3290.432806
52	3248.511878
53	3207.275988
54	3166.516844
55	3126.809148
56	3087.724033
57	3048.462694
58	3010.334315
59	2972.993289
60	2935.830872
61	2899.132986
62	2862.893823
63	2827.026227
64	2791.17345
65	2756.767753
66	2722.308156
67	2688.216356
68	2654.555312
69	2621.479471
70	2588.288585
71	2555.539748
72	2523.314155
73	2491.426122
74	2460.2794
75	2429.536342
76	2398.761571
77	2368.780188
78	2339.179021
79	2309.937092
80	2280.682447
81	2252.18678
82	2224.032793
83	2196.250342
84	2168.797213
85	2141.687247
86	2114.916156
87	2088.502373
88	2062.054893
89	2036.302477
90	2010.521477
91	1985.073512
92	1959.953159
93	1935.453298
94	1910.967124
95	1887.079624
96	1863.49075
97	1840.197115
98	1817.194306
99	1794.501134
