iter	Passed	Remaining
0	0	70
1	1	57
2	1	54
3	2	50
4	2	47
5	2	45
6	3	45
7	3	43
8	4	42
9	4	41
10	5	42
11	5	40
12	5	38
13	5	36
14	6	34
15	6	32
16	6	31
17	6	30
18	7	30
19	7	29
20	7	28
21	8	29
22	8	28
23	8	28
24	9	27
25	9	26
26	9	26
27	9	25
28	10	24
29	10	25
30	11	25
31	11	24
32	12	24
33	12	24
34	13	24
35	13	24
36	14	24
37	14	24
38	15	23
39	15	22
40	15	22
41	15	21
42	16	21
43	16	21
44	16	20
45	17	19
46	17	19
47	17	19
48	18	18
49	18	18
50	19	18
51	19	18
52	20	17
53	20	17
54	20	17
55	21	16
56	21	16
57	22	15
58	22	15
59	22	15
60	23	14
61	23	14
62	24	14
63	24	13
64	25	13
65	25	13
66	25	12
67	26	12
68	27	12
69	27	11
70	27	11
71	28	11
72	28	10
73	29	10
74	29	9
75	29	9
76	30	8
77	30	8
78	30	8
79	30	7
80	31	7
81	31	6
82	31	6
83	31	6
84	32	5
85	32	5
86	32	4
87	32	4
88	33	4
89	33	3
90	33	3
91	33	2
92	34	2
93	34	2
94	35	1
95	35	1
96	36	1
97	37	0
98	37	0
99	37	0
